,Unnamed: 0,stim1_location,stim2_location,response1_area1,responsestrength1_area1,reactivation_area1,REACT1,response2_area1,responsestrength2_area1,response1_area2,responsestrength1_area2,reactivation_area2,REACT2,reactstrength_area1,reactstrength_area2,response2_area2,responsestrength2_area2,delay1,delay2,ITI,stim_start,stim2_start,stim_duration,react_start,react_end,react_strength,window,steps,across_factor,stim1_location_rad,stim2_location_rad,response1,response2,response1Err,response2Err,across_factor_label
1,1,303,283,-0.7957278064388551,1.0062858451909222,-0.7575288116507357,True,-1.267323058134041,1.0855032654505343,-1.1059154561425466,1.0001154185724646,0.7414853961146988,True,0.0034756504325047,0.0079451174953632,-1.293005198396726,0.971182325133717,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.9948376736367681,-1.3439035240356336,-0.9508216312907005,-1.2801641282653835,0.04401604234606762,0.06373939577025016,0.0%
10,10,341,359,-0.3572326462318025,1.074506724993403,2.7999263510180064,True,-0.09245004281955,1.0700332939904085,-0.3703525636076797,1.0638982210374666,2.9954859370040348,True,0.0042809585153876,0.0016485747773137,-0.0276723874853751,1.0519688091175674,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.3316125578789224,-0.017453292519943098,-0.36379260491974064,-0.0600612151524631,-0.03218004704081822,-0.04260792263252001,0.0%
27,27,139,31,2.426869031615366,1.0104383039400064,2.5543029640536696,True,0.4964237646303241,1.0532794270380874,2.5871616891411344,1.0428932228253032,-2.248426980468865,True,1.2950139187072605,0.0050762030033381,0.5270112856469653,0.9553058994229544,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.426007660272118,0.5410520681182421,2.50701536037825,0.511717525138645,0.0810077001061318,-0.029334542979597044,0.0%
35,35,322,213,-0.577862786159762,1.0389790835845347,-0.8717995741204629,True,-2.5945183925763704,1.0449782079584802,-0.7894569253895386,1.0562067183457895,-0.930555017079894,True,0.0040716824187049,1.0219347277129414,-2.630858539940025,1.0223855151188146,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.6632251157578448,-2.5656340004316642,-0.6836598557746503,-2.6126884662581977,-0.020434740016805484,-0.047054465826533526,0.0%
40,40,287,273,-1.3467303866908582,1.0451007110966817,-2.166363983299032,True,-1.5810240414284138,1.0068053435229414,-1.3711515061134,0.9951562903261276,1.2094131585737655,True,0.0006351190887303,0.0027040854126506,-1.480320712454395,1.0803969966005829,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.2740903539558603,-1.5184364492350664,-1.358940946402129,-1.5306723769414043,-0.08485059244626864,-0.012235927706337975,0.0%
45,45,94,319,1.6027854889411288,1.032137822626212,0.7266526696315123,True,-0.5690067136619987,0.9931230649026812,1.7276970911941236,1.054956335123961,1.562797128840952,True,0.9471064776152128,0.1635278901216327,-0.6632639097123926,1.0437002312491244,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.6406094968746698,-0.715584993317675,1.665241290067626,-0.6161353116871955,0.02463179319295606,0.09944968163047947,0.0%
49,49,103,2,1.755200377973222,1.0135513984384483,-1.4293916475787751,True,-0.1257657686812736,1.014816612229361,1.7253669147743351,1.0981187762504172,1.6118734701556166,True,0.0074764414962144,1.3218438455367414,0.119289289297259,1.0359036397558885,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.7976891295541595,0.03490658503988659,1.7402836463737783,-0.0032382396920072054,-0.05740548318038119,-0.03814482473189379,0.0%
75,75,198,224,-2.7718602796975804,1.023481442786517,0.4225681216997252,True,-2.379605379985524,1.0041742673481404,-2.8775403237653583,1.048195638124669,-0.8541473526819635,True,0.0028757855585135,0.0045430211210068,-2.5564628722967657,0.9247589478582332,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-2.827433388230814,-2.373647782712288,-2.824700301731469,-2.468034126141145,0.002733086499344647,-0.09438634342885695,0.0%
78,78,111,283,1.877264125439544,1.067851053625322,0.2199342994993283,True,-1.3598599424354012,0.9395440654308967,1.916454333020508,0.9708865566503396,-2.1747054999778808,True,0.0026185227170218,0.0012019462617851,-1.4861295166602004,1.0666159500248675,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.9373154697137058,-1.3439035240356336,1.8968592292300253,-1.422994729547801,-0.040456240483680544,-0.0790912055121673,0.0%
81,81,131,102,2.3044670513806405,1.081712549778684,-1.003469820635262,True,1.580536926479032,1.008242435900213,2.270036469524773,1.0094798403848515,-2.776421292461233,True,0.0040524435029107,0.0061665358301949,1.8614948361343853,0.9965969256597532,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.2863813201125716,1.7802358370342162,2.2872517604527065,1.721015881306709,0.0008704403401349956,-0.05921995572750728,0.0%
82,82,330,192,-0.3470140479758824,0.9752428032258972,-0.2256667054425988,True,-2.937936584419358,0.9284476071656552,-0.6798890712726049,0.9404524464219056,-0.0768783455958385,True,1.5556986684121008,0.0017442795586026,-2.858201259956864,1.010159445791382,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.5235987755982991,-2.9321531433504733,-0.5134515596242437,-2.898068922188111,0.010147215974055516,0.0340842211623622,0.0%
85,85,346,290,-0.0788157098517669,1.0313338514941308,1.6193520128209855,True,-1.1526272891141196,1.04312518631472,-0.2709724528967578,1.0274004430303387,1.3690769302601251,True,0.0034438452123222,0.0139190415355707,-1.0194932075089762,1.042537506292965,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.24434609527920603,-1.2217304763960302,-0.1748940813742621,-1.0860602483115476,0.06945201390494389,0.13567022808448256,0.0%
98,98,272,242,-1.5067474638142715,0.9951633604033508,-2.603482061454491,True,-2.082944553415732,1.0482844513408072,-1.5808680854104131,1.0686510500028292,-0.2304212924901768,True,0.0198059608276728,0.0053790936239052,-2.159787392372716,0.9728213592019286,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.5358897417550095,-2.0594885173533086,-1.5438077746123424,-2.121365972894224,-0.007918032857332944,-0.061877455540915206,0.0%
102,102,251,218,-1.871262393503636,1.042031150837771,-2.6438754208510487,True,-2.3459857567858884,1.0258859451206417,-1.809406562639608,1.0568835601656743,0.8744547194504448,True,0.0014185797605177,0.0021597677008751,-2.437931909097692,0.9794532861459077,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.902408884673819,-2.478367537831948,-1.840334478071622,-2.39195883294179,0.062074406602197055,0.08640870489015787,0.0%
121,121,32,93,0.6263643458555113,0.99337904562012,0.9561067921215504,True,1.4559020004968717,1.05899351755672,0.5371653272154169,1.0402690573852131,1.8740983898534704,True,0.0035394185671767,0.0023893395061766,1.5520937538817658,1.0014232466690014,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.5585053606381855,1.6231562043547265,0.5817648365354642,1.5039978771893185,0.023259475897278798,-0.11915832716540797,0.0%
122,122,333,79,-0.5256218697407107,1.0089782805424747,-0.8384500997228906,True,1.2787172033372591,0.9783628414989298,-0.5131587254884047,1.0160822551414486,-1.4195181199020113,True,1.232328690662757,0.0020807939922451,1.2250998168702407,1.0201591896790825,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.47123889803846897,1.3788101090755203,-0.5193902976145579,1.2519085101037497,-0.048151399576088945,-0.12690159897177053,0.0%
131,131,118,135,2.0309622405044685,1.079374811994027,1.509204089657567,True,2.282697084693062,1.0411162514545815,2.210370068529849,0.9456372480216524,-2.5311643624367632,True,0.5986399566761114,0.0291070126074293,2.3539012056690303,1.0489812167033912,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.059488517353309,2.356194490192345,2.120666154517159,2.3182991451810455,0.06117763716384994,-0.037895345011299306,0.0%
136,136,182,174,3.0768776686615222,1.030698625271962,-0.5269622217677945,True,3.0620184121081704,1.0236983971890965,-3.0664345821508743,0.9675539368150315,0.1273037725844065,True,0.0054341062410518,0.1403501623070386,2.946253845675693,1.0065513569890188,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-3.1066860685499065,3.036872898470133,-3.136371110334469,3.004136128891931,-0.029685041784562664,-0.03273676957820236,0.0%
140,140,227,109,-2.2489158473840813,1.0655154749996698,2.363037174232712,True,1.8545123617520909,1.0552150839798902,-2.223822037327536,0.9842617895341228,-2.2192127120811125,True,0.004819272154208,1.2621172941754155,1.8944339937481576,1.0184835142438713,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-2.321287905152458,1.9024088846738192,-2.2363689423558086,1.874473177750124,0.08491896279664954,-0.02793570692369517,0.0%
160,160,298,267,-1.0880489206371142,1.0384052335976737,-0.2192633264786677,True,-1.5477870189722256,0.9976120970566886,-1.0956563614711472,1.0351274102021428,-1.8620270640738783,True,0.0073071308003115,0.0038313063239297,-1.6959640938554297,1.1509381640691403,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.0821041362364845,-1.6231562043547267,-1.0918526410541305,-1.6218755564138276,-0.009748504817645979,0.0012806479408991047,0.0%
168,168,74,10,1.2669670706200018,1.0851583596555006,1.3548535615644408,True,0.1149829874686375,1.0169262771128462,1.2238249482637866,0.9243691652237684,1.2798772584622775,True,1.2044303119440294,1.4085479625969508,0.3548053770550472,0.9278814839391012,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.2915436464758039,0.17453292519943295,1.2453960094418939,0.23489418226184222,-0.04614763703391002,0.06036125706240927,0.0%
177,177,315,51,-0.9470759193160548,1.0946111124284832,1.0384669328691516,True,0.919810944745226,1.0509425840605449,-0.8500026325162876,1.0872816997088055,-0.8784984488517513,True,0.0012451425340726,0.9736631031423142,0.8962723667976215,1.0038488354354551,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-0.7853981633974483,0.8901179185171081,-0.8985392759161712,0.9080416557714237,-0.11314111251872301,0.017923737254315574,0.0%
198,198,3,2,0.0162843510482829,0.9685516336456064,-2.4451653758897125,True,0.122578278359874,1.0021107533206384,0.0044837439161897,0.9587244573495872,-0.0392389017543553,True,0.0019490728246066,0.9693353124228872,0.0588127597568971,0.9762343676232152,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.05235987755982989,0.03490658503988659,0.010384047482236536,0.09069551905838535,-0.041975830077593354,0.05578893401849876,0.0%
201,201,52,230,0.9356320322187416,1.0541796087317503,-2.059910864839257,True,-2.298068415048629,0.9594511594147256,0.9458674672644404,1.0119334441731744,1.992958526932808,True,0.0031693635947777,0.0285667699351869,-2.062655527832487,1.014519145416752,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.9075712110370514,-2.2689280275926285,0.9407497497415909,-2.1803619714405578,0.033178538704539434,0.08856605615207074,0.0%
202,202,3,68,0.0680882949600005,0.9951576119503994,0.0316617225976594,True,1.4144697081048674,1.0051095137090331,-0.050411039772475,1.0100570493487804,-0.5835309176700654,True,1.252744745731795,0.0393527632752975,1.0824768185829388,1.0041708941353022,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.05235987755982989,1.1868238913561442,0.008838627593762194,1.2484732633439029,-0.0435212499660677,0.061649371987758675,0.0%
206,206,124,97,2.2620837553118283,1.0136519387755902,2.4798112057383026,True,1.8142052261102497,0.9105995998489148,2.183692738680618,1.0012989709597118,-1.4848962617474497,True,1.2616052510673217,0.2612011391296408,1.8944991004684304,0.9872814487324374,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.1642082724729685,1.6929693744344996,2.222888246996223,1.8543521632893398,0.05867997452325429,0.16138278885484028,0.0%
209,209,178,260,-3.1324157693378893,0.975699399030583,2.9351571101863856,True,-1.5524971922582371,1.0845278468902522,3.107195677199955,1.0243278761124714,2.333858903962028,True,1.182525154936956,1.6572677710655077,-1.6114718603569345,1.0290152389724798,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,3.1066860685499065,-1.7453292519943293,3.1289826075208254,-1.5819845263075858,0.022296538970918878,0.1633447256867435,0.0%
212,212,264,44,-1.761635811849953,1.0459361830233795,-1.6571453314719429,True,0.8258657226034568,1.1066693915745307,-1.7609213537777244,0.9567659468746414,-1.7532013692887776,True,1.2986151348767383,1.4470542227392709,0.7959535142957725,0.9602548794118176,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.675516081914556,0.767944870877505,-1.7612785828138384,0.8109096184496143,-0.08576250089928239,0.04296474757210927,0.0%
216,216,90,89,1.6179415533279444,0.9667941705680424,-1.160724842187998,True,1.8096568940611293,1.0663562012712482,1.4511173357813432,1.010548711805456,3.1132497165785007,True,0.0086926719913067,0.004192378714078,1.4783685644990676,1.0149963883586768,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,1.5707963267948966,1.5533430342749532,1.5345294445546438,1.6440127292800986,-0.03626688224025276,0.09066969500514532,0.0%
219,219,158,210,2.8988976274481693,1.0958094897398372,2.9475192369085708,True,-2.7418504344045243,0.9404180828949816,2.74448702277713,1.04111336715035,2.7484045232062675,True,1.299777996005662,1.1475301766276094,-2.5220104587923515,0.9980247123226852,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.7576202181510405,-2.617993877991494,2.8216923251126502,-2.631930446598438,0.06407210696160968,-0.013936568606943912,0.0%
223,223,132,128,2.3429973620504234,1.0029408161260032,-1.5504456271661131,True,2.171577403072072,0.9741315488008478,2.2683492126298392,0.9424919029580592,2.446835030518188,True,0.0055133129034524,0.00088432129486,2.319232669941527,1.0563595344503398,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,2.303834612632515,2.234021442552742,2.3056732873401318,2.2454050365068,0.0018386747076167258,0.011383593954058241,0.0%
225,225,57,205,0.9596176911926814,1.0416040398084605,-3.0767934896248867,True,-2.652750914282201,1.00066020813407,1.10983108225086,1.0802252401537116,0.1763047247195902,True,0.0065870480986202,0.0018569868761233,-2.7154172501174902,1.027060500937432,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,0.9948376736367679,-2.705260340591211,1.0347243867217708,-2.6840840821998455,0.039886713085002815,0.021176258391365322,0.0%
239,239,277,334,-1.5029164221454263,1.0437969319852358,-0.6605775199069184,True,-0.5222936390614852,1.09183764806577,-1.3602820946300611,1.034296577480115,-1.0665550805133714,True,0.006791892377333,1.3105819920328647,-0.3493786284512609,1.007841862691912,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.448623279155293,-0.45378560551852587,-1.4315992583877435,-0.43583613375637276,0.017024020767549605,0.01794947176215303,0.0%
241,241,249,297,-1.9715456867709624,1.0909611143354756,3.07193620675117,True,-1.1368647833510153,1.093779717684923,-2.0646526813088752,1.0723393184123238,-1.2590272758946233,True,0.0021467514070121,0.0013713948638401,-0.9532632073374382,0.99111057898402,3000.0,3000.0,1500.0,1000.0,7500.0,300.0,5800.0,6300.0,3.9e-11,0.2,0.1,0.0,-1.937315469713706,-1.0995574287564276,-2.0180991840399187,-1.045063995344227,-0.08078371432621269,0.05449343341220063,0.0%
